Questions,Answers
Can we develop a solution with the feature to perform Calculations?,"The number function reserved CUs which are available under NSLhub Kit provides several constructs and ways to perform mathematical functions like average, sum, round off, min max, etc.,"
What is the purpose of Number Function Reserved CU?,"The number function reserved CUs which are available under NSLhub Kit provides several constructs and ways to perform mathematical functions like average, sum, round off, min max, etc.,"
What is NSL_Pancard Reserved CU?,The Pan card reserved CU is where the user can upload the PAN card and the details will be extracted as data
Where can we use NSL_Pancard Reserved CU?,The Pan card reserved CU is where the user can upload the PAN card and the details will be extracted as data
Can we develop a solution that extracts the details from the image of PAN card and convert to data?,The Pan card reserved CU is where the user can upload the PAN card and the details will be extracted as data
What is Password UI control?,The password UI control allows the users to give the password with some conditions and security. The values that are typed in the field will be encrypted
Can we develop a solution where end- user needs to enter an encrypted password?,The password UI control allows the users to give the password with some conditions and security. The values that are typed in the field will be encrypted
What is Preview UI control?,The preview UI control allows the users to preview the file as a thumbnail or any other format without opening it in another window.
Can we develop a solution with the field to preview the file or data as a thumbnail?,The preview UI control allows the users to preview the file as a thumbnail or any other format without opening it in another window.
What is Probability UI control?,The probability UI allows the users to calculate the probability between the defined values
Is it possible to calculate the probability with the values?,The probability UI allows the users to calculate the probability between the defined values
What is Progress UI control?,"The progress UI control is used to display the status or progress with predefined value. You can use it for Project Status, Percentage of work etc."
Can we develop a solution to display the status bar showing the status of percentage?,"The progress UI control is used to display the status or progress with predefined value. You can use it for Project Status, Percentage of work etc."
What is NSL_PushNotification Reserved CU?,The push notification reserved CU is used when you want to integrate push notification feature into your solution
Where can we use NSL_PushNotificationReserved CU?,The push notification reserved CU is used when you want to integrate push notification feature into your solution
Can we develop a solution that can send push notifications?,The push notification reserved CU is used when you want to integrate push notification feature into your solution
What is the use of a radio button?,The radio button is the UI control where the end-user can select any one option. It is a circular element that works simply as multiple options.
What are the uses of radio button?,The radio button is the UI control where the end-user can select any one option. It is a circular element that works simply as multiple options.
What is the purpose of a radio button?,The radio button is the UI control where the end-user can select any one option. It is a circular element that works simply as multiple options.
Can I add CCAvenue verify request in the solution?,"The reserved CU ""CCAvenue verify response"" is used to verify the payment request by the provider."
What is NSL_CCAvenueVerifyResponse?,"The reserved CU ""CCAvenue verify response"" is used to verify the payment request by the provider."
Can we develop a solution with an option to verify the payment response from the service provider?,"The reserved CU ""CCAvenue verify response"" is used to verify the payment request by the provider."
What is NSL_Template_Generate_QR_Code Reserved CU?,"The reserved CU ""template generation QR code "" is used to generate the template for the QR code scan which defines the layout of the information."
Where can we use NSL_Template_Generate_QR_Code?,"The reserved CU ""template generation QR code "" is used to generate the template for the QR code scan which defines the layout of the information."
Can we develop a solution with a fixed format to display the information once the QR code is scanned?,"The reserved CU ""template generation QR code "" is used to generate the template for the QR code scan which defines the layout of the information."
What is NSL_validateotppaytm Reserved CU?,"The reserved CU ""validate OTP Paytm"" can be used to verify Paytm OTP for online transactions."
Where can we use NSL_validateotppaytm Reserved CU?,"The reserved CU ""validate OTP Paytm"" can be used to verify Paytm OTP for online transactions."
Can we develop a solution with Paytm transactions and also validate the transactions?,"The reserved CU ""validate OTP Paytm"" can be used to verify Paytm OTP for online transactions."
NSL_Template_Read_QR_Code?,The reserved CU Read QR Code is a predefined template to display the information once the QR code is scanned.
Can we develop a solution with default template that can scan and display the information accordingly?,The reserved CU Read QR Code is a predefined template to display the information once the QR code is scanned.
Where can we use NSL_Template_Read_QR_Code?,The reserved CU Read QR Code is a predefined template to display the information once the QR code is scanned.
What is NSL_Resume Reserved CU?,The resume reserved CU is where the user can upload the resume as a file and the important details are captured as data and saved into a database.
Where can we useNSL_Resume Reserved CU?,The resume reserved CU is where the user can upload the resume as a file and the important details are captured as data and saved into a database.
Can we develop a solution that extracts the details from the image of resume and convert to data?,The resume reserved CU is where the user can upload the resume as a file and the important details are captured as data and saved into a database.
What is SCORM Video UI Control?,The SCORM video UI allows users to insert a SCROM video into a solution.
Can we develop a solution to insert and use the SCROM videos?,The SCORM video UI allows users to insert a SCROM video into a solution.
What is SCORM Progress UI Control?,The SCROM progress UI helps to display the progress of the SCROM files.
Can we develop a solution to display the status of SCROM in the solution?,The SCROM progress UI helps to display the progress of the SCROM files.
What is the difference between SEC and MCC?,The SEC (Stakeholder Engagement Center) contains all the entities that matter to the agent whereas MCC deals with entities that matter for each stakeholder (human agent). It dynamically gives access to entities that the agents deal with
What is Signature UI Control?,The signature UI allows the users to insert their signature. It can be used for documents signing and other authentications
Can we develop a solution with an option to insert the signature into the solution?,The signature UI allows the users to insert their signature. It can be used for documents signing and other authentications
What are solution design Rights at the time of creating CU?,"The solution design Rights are read and write, where the solution developer can read and write the solution"
Where can I find the solution that was sent for approval?,The solution which was sent for approval would be under the collaborator tab which is at the top right corner on Canvas.
What happens if we Select Cancel while developing the solution?,The system will redirect you to the back page
What is Time UI Control?,The Time UI control allows the users to input time as a value in the fields
Can we develop a solution with an option to insert or mention the time within the field?,The Time UI control allows the users to input time as a value in the fields
What is Typeahead UI control?,The Typeahead UI allows the user to search with a drop down. When the user types anything in the field they will get the search results in dropdown
Can we develop a solution to search and display the search results in the dropdown?,The Typeahead UI allows the user to search with a drop down. When the user types anything in the field they will get the search results in dropdown
What is Video UI control?,The video UI control allows the users to upload or insert a video file into a solution
Can we develop a solution with an option to upload the video files?,The video UI control allows the users to upload or insert a video file into a solution
Can an Entity be in the form of video?,The video UI control allows the users to upload or insert a video file into a solution
What is WebEx UI Control?,The WebEx UI control allows the users to control and manage the WebEx with the inputs
Is it possible to develop a solution to insert WebEx credentials?,The WebEx UI control allows the users to control and manage the WebEx with the inputs
What are the different options available under UI controls?,There are several options available for the UI controls. .
How many DCD can be added?,There is no restriction of number of DCDs that can be given from a CU. Any number of DCDs can be given.
Is there any restriction on DCDs that can be given from one CU?,There is no restriction of number of DCDs that can be given from a CU. Any number of DCDs can be given.
Can I create any number of DCDs?,There is no restriction of number of DCDs that can be given from a CU. Any number of DCDs can be given.
On what basis should I add DCDs?,There is no restriction of number of DCDs that can be given from a CU. Any number of DCDs can be given.
How many DCDs can I create in a solution?,There is no restriction of number of DCDs that can be given from a CU. Any number of DCDs can be given.
What is the Boolean UI control?,This UI control allows the users to insert or give Boolean values into the fields
Can we provide an option to the users to verify any one of the files are true and convert the text into Boolean expression?,This UI control allows the users to insert or give Boolean values into the fields
what is an audio UI control?,This UI control allows users to add or upload audio files as an input
What is Current date and time UI control?,This UI control allows users to display and give the Current time and date
Can we develop a solution to capture Current date and time values in the solution?,This UI control allows users to display and give the Current time and date
What is Date time UI control?,"This UI control allows users to select the date and time from the list of fields. It can be used for to book appointments, etc."
Can we develop a solution to book appointments with date and time options?,"This UI control allows users to select the date and time from the list of fields. It can be used for to book appointments, etc."
How to develop a solution with Number Functions?,"To Create a solution with number functions, add a Number function CU from NSLhub Kit and define the values in the other CUs. ."
What are the steps to make a solution with Number Functions?,"To Create a solution with number functions, add a Number function CU from NSLhub Kit and define the values in the other CUs. ."
How to Delete the CUs?,"To Delete a CU, Just hover over the CU and Select the red color delete Icon."
How to edit the Change Unit?,"To edit Change Unit, place the Cursor on Change Unit and press edit icon."
How do I edit the Change Unit?,"To edit Change Unit, place the Cursor on Change Unit and press edit icon."
How to edit a Change Unit?,"To edit Change Unit, place the Cursor on Change Unit and press edit icon."
How Can I review and approve the solutions?,"To review the solution, 
 Step 1: Go to the canvas
 Step 2: Select the + Icon on the Library
 Step 3: Select Next
 Step 4: Select Collaborator
 Step 5: Select Version notifications
 Step 6: Select review the solution
 Step 7: Select Approve."
How can I review and reject the solution?,"To review the solution, 
 Step 1: Go to the canvas
 Step 2: Select the + Icon on the Library
 Step 3: Select Next
 Step 4: Select Collaborator
 Step 5: Select Version notifications
 Step 6: Select review the solution
 Step 7: Select Reject."
What are Transaction Rights at the time of creating the CU?,Transaction Rights consists of Read write and execute where the solution should have a transaction and execution
What are the Transaction Rights?,Transaction Rights consists of Read write and execute where the solution should have a transaction and execution
What is the  Triggered Status under My Transaction?,Triggered status defines that the solution was triggered and is yet to complete
What is a UI control?,UI control under the entities section is an option to select the input type that the end-user can provide.
What is the unlink option under each CU?,Unlink option is used to disable the link between the CUs
What is NSL_Template_Update Reserved CU?,Update Reserved Change Unit as the name suggests is used for updating records of a particular Entity. It replaced create reserved CU which no longer works for updating records scenario. Create Reserved CU is strictly restricted to creating Entity records.
Where can we use NSL_Template_Update?,Update Reserved Change Unit as the name suggests is used for updating records of a particular Entity. It replaced create reserved CU which no longer works for updating records scenario. Create Reserved CU is strictly restricted to creating Entity records.
Where can we use the Update Reserved CU?,Update Reserved Change Unit as the name suggests is used for updating records of a particular Entity. It replaced create reserved CU which no longer works for updating records scenario. Create Reserved CU is strictly restricted to creating Entity records.
Can we provide a feature in the solution to update the files once uploaded and want to update new?,Update Reserved Change Unit as the name suggests is used for updating records of a particular Entity. It replaced create reserved CU which no longer works for updating records scenario. Create Reserved CU is strictly restricted to creating Entity records.
What is NSL_Utilitybill Reserved CU?,Utility bill reserved CU is where the user can upload the utility bill and the bill details and fields will be captured as data.
Where can we use NSL_Utilitybill Reserved CU?,Utility bill reserved CU is where the user can upload the utility bill and the bill details and fields will be captured as data.
Can we develop a solution that extracts the details from the image of Bills and convert to data?,Utility bill reserved CU is where the user can upload the utility bill and the bill details and fields will be captured as data.
What is the use of Select Validators in UI controls?,Validators are use to give the validations / conditions to an inputs.
What is NSL_VehicleRegistration Reserved CU?,Vehicle registration reserved CU is where the users can upload the RC and the details will be captured as data and saved into a database.
Where can we use NSL_VehicleRegistration Reserved CU?,Vehicle registration reserved CU is where the users can upload the RC and the details will be captured as data and saved into a database.
Can we develop a solution that extracts the details from the image of Vehicle registration certificate and convert to data?,Vehicle registration reserved CU is where the users can upload the RC and the details will be captured as data and saved into a database.
What types of API can be integrated within the platform?,"We can integrate any type of API into a solution. If the API is not integrated or found in the canvas, you can contact the solution team."
How do I change or edit my GSI Name?,"When you hover over the GSI, you can see the edit option to edit the GSI name"
How to Edit the name of a GSI?,"When you hover over the GSI, you can see the edit option to edit the GSI name"
What are the steps to edit GSI name?,"When you hover over the GSI, you can see the edit option to edit the GSI name"
Can we create auto product IDs in the solution?,Yes you can Create a solution which generates auto product IDs
Can I delete the GSI?,Yes you can delete the GSI
Can we upload the Aadhar card details into the solution?,"Yes, Aadhar reserved CU is where the user can upload the Aadhar card as an image or a file and the details will be extracted as data."
Is it possible to upload the Aadhar card into the solution and convert in into the data?,"Yes, Aadhar reserved CU is where the user can upload the Aadhar card as an image or a file and the details will be extracted as data."
Can I delete few Attributes in an Entity in that particular solution?,"Yes, Attributes can be added, deleted and updated in a solution"
Can we develop the solutions which can send Emails.?,"Yes, Email reserve CU can be used to trigger email notification to the users and you can Create a solution that can send Emails. ."
How can I use Email Reserved CU?,"Yes, Email reserve CU can be used to trigger email notification to the users and you can Create a solution that can send Emails. ."
Can I develop a solution which can send auto generated emails?,"Yes, Email reserve CU can be used to trigger email notification to the users and you can Create a solution that can send Emails. ."
Does the platform enables to develop solution to send Emails and Text messages?,"Yes, Email reserve CU can be used to trigger email notification to the users and you can Create a solution that can send Emails. ."
Can we incorporate WebEx widgets ?,"Yes, it is possible to incorporate WebEx widgets into your solutions using WebEx function."
Can I add WebEx widgets?,"Yes, it is possible to incorporate WebEx widgets into your solutions using WebEx function."
Are logics Case sensitive?,"Yes, logics are case sensitive, you can use the same names with Caps on and Caps off"
Are the GSI and CU case sensitive?,"Yes, the GSI and CU are case sensitive"
Does the solution get saved without saving?,"Yes, the solution will be auto-saved in drafts even if you have not saved it in a Book"
Can I develop the solutions on payment gateways and transactions?,"Yes, we can add several payment options in the payment type"
"Can we also add several other payment options like gpay,paytm,Phonepe Razorpay,Mobikwik etc.?","Yes, we can add several payment options in the payment type. ."
Can we create WebEx user with the solutions ?,"Yes, we have integrated the WebEx API to use it in your solutions"
Is there an option to create WebEx user from the solution?,"Yes, we have integrated the WebEx API to use it in your solutions"
Can we implement the functions like verify username and password?,"Yes, we have some functions which can verify between two Attributes"
Is it possible to carry out functions like verify username and password?,"Yes, we have some functions which can verify between two Attributes"
Can I develop a solution which can verify between Attributes?,"Yes, we have some functions which can verify between two Attributes"
Is it possible to use already developed solution to create a new GSI?,"Yes, you can add existing solution while creating a new solution."
Can we add several other payment options?,"Yes, you can add several payment options in the payment type"
Can we add an Entity to Upload PDFs in the solution?,"Yes, you can add the reserved CU to upload PDF in the solution"
Can PDFs be uploaded in the solution?,"Yes, you can add the reserved CU to upload PDF in the solution"
Is it possible to create an Entity allows users to upload PDFs and documents?,"Yes, you can add the reserved CU to upload PDF in the solution"
Can I enable the option to upload PDFs in the solution?,"Yes, you can add the reserved CU to upload PDF in the solution"
Can we make embedded GSI as an alternate CU?,"Yes, you can assign embedded GSI as an alternate CU"
Can we change the Entity name?,"Yes, you can change the Entity name with the edit option"
Is it possible to change the Entity names?,"Yes, you can change the Entity name with the edit option"
Can we change the name of Reserved Change Unit?,"Yes, you can change the name of the reserved CU if it is a template. If the CU starts with ""NSL_ "" you should not change the name"
Is there an option to change the name of Reserved CUs?,"Yes, you can change the name of the reserved CU if it is a template. If the CU starts with ""NSL_ "" you should not change the name"
Can I edit the name of Reserved CU?,"Yes, you can change the name of the reserved CU if it is a template. If the CU starts with ""NSL_ "" you should not change the name"
Is it possible to edit the name of Reserved CU?,"Yes, you can change the name of the reserved CU if it is a template. If the CU starts with ""NSL_ "" you should not change the name"
Is it possible to change the name of a Change Unit?,"Yes, you can change the name of your Change Unit"
Is there an option to edit the CU name?,"Yes, you can change the name of your Change Unit"
Can I edit/ change the name of CU?,"Yes, you can change the name of your Change Unit"
Can we connect two GSIs?,"Yes, you can connect two GSIs,"
Can GSI's be connected?,"Yes, you can connect two GSIs,"
Can two or more GSI's be linked?,"Yes, you can connect two GSIs,"
Can we convert an image to PDF in the solution?,"Yes, you can convert an image to a PDF in a solutions"
Is there an option to convert images to PDF?,"Yes, you can convert an image to a PDF in a solutions"
Can I convert Images to PDF in my solution?,"Yes, you can convert an image to a PDF in a solutions"
"Can we develop a solution to generate invoices, Bills etc.?","Yes, you can Create a solution that can generate invoices for your Customers with a defined template"
Can we develop a solution which can upload videos ?,"Yes, you can Create a solution with an option to upload videos into a solutions."
Can we create an option in the solution to upload videos?,"Yes, you can Create a solution with an option to upload videos into a solutions."
Can I develop a solution which ask for a video upload ?,"Yes, you can Create a solution with an option to upload videos into a solutions."
Can a end user upload a video?,"Yes, you can Create a solution with an option to upload videos into a solutions."
Does the platform support to develop the solution for payment gateways and Transactions?,"Yes, you can Create a solutions for payment gateways and transactions"
Is there a possibility to develop solutions on payment gateways and transaction like Paytm and Google Pay?,"Yes, you can Create a solutions for transactions like Paytm and google Pay."
Can I develop solutions like bill and recharge payments?,"Yes, you can Create a solutions for transactions."
Can we use NSLhub to develop website?,"Yes, you can Create any kind of websites on our platform"
Can I directly create a CU?,"Yes, you can Create CUs directly in the library without creating a GSI first. However, to complete a solution you need to add your CUs to the GSI.
 To directly create a CU - 
 Step 1: Select the + Icon on the Library, 
 Step 2: Select the Change Unit Icon.
 Step 3: Select create below the search 
 Step 4: Create your CU"""
Can we create a CU with out GSI?,"Yes, you can Create CUs directly in the library without creating a GSI first. However, to complete a solution you need to add your CUs to the GSI.
 To directly create a CU - 
 Step 1: Select the + Icon on the Library, 
 Step 2: Select the Change Unit Icon.
 Step 3: Select create below the search 
 Step 4: Create your CU"""
Can I create the CUs first and then add them to the solution,"Yes, you can Create CUs directly in the library without creating a GSI first. However, to complete a solution you need to add your CUs to the GSI.
 To directly create a CU - 
 Step 1: Select the + Icon on the Library, 
 Step 2: Select the Change Unit Icon.
 Step 3: Select create below the search 
 Step 4: Create your CU"""
Can I create the CUs first and then create my solution?,"Yes, you can Create CUs directly in the library without creating a GSI first. However, to complete a solution you need to add your CUs to the GSI.
 To directly create a CU - 
 Step 1: Select the + Icon on the Library, 
 Step 2: Select the Change Unit Icon.
 Step 3: Select create below the search 
 Step 4: Create your CU"""
Can I directly create the CUs in Library?,"Yes, you can Create CUs directly in the library without creating a GSI first. However, to complete a solution you need to add your CUs to the GSI.
 To directly create a CU - 
 Step 1: Select the + Icon on the Library, 
 Step 2: Select the Change Unit Icon.
 Step 3: Select create below the search 
 Step 4: Create your CU"""
Can we create a dependent Dropdown?,"Yes, you can create dependent dropdown in the solution. ."
What are the steps to create a dependent Dropdown?,"Yes, you can create dependent dropdown in the solution. ."
How to add dependent dropdown to a solution?,"Yes, you can create dependent dropdown in the solution. ."
Can I create an Entity directly in the Library?,"Yes, you can create Entities directly in the library without creating a CU first. However, to complete a solution you need to add your entities to CUs
 To directly create an Entity - 
 Step 1: Select the + Icon on the Library, 
 Step 2: Select the Entity Icon. 
 Step 3: Select create below the search 
 Step 4: Create your Entity"
Is it possible to create an Entity directly?,"Yes, you can create Entities directly in the library without creating a CU first. However, to complete a solution you need to add your entities to CUs
 To directly create an Entity - 
 Step 1: Select the + Icon on the Library, 
 Step 2: Select the Entity Icon. 
 Step 3: Select create below the search 
 Step 4: Create your Entity"
Can I create an Entity without creating a CU?,"Yes, you can create Entities directly in the library without creating a CU first. However, to complete a solution you need to add your entities to CUs
 To directly create an Entity - 
 Step 1: Select the + Icon on the Library, 
 Step 2: Select the Entity Icon. 
 Step 3: Select create below the search 
 Step 4: Create your Entity"
Can we develop ERP solutions?,"Yes, you can Create ERP solutions on our platform"
Does the trigger CES also have entities?,"Yes, you can create the entities in Trigger CES, to trigger the inputs with conditions"
Can we create WebEx authentication ?,"Yes, you can create WebEx Authentication in your solutions."
Is it possible to develop WebEx authentication?,"Yes, you can create WebEx Authentication in your solutions."
Is it possible to delete the Entity?,"Yes, you can delete or edit an Entity"
Can we delete the Entity?,"Yes, you can delete or edit an Entity"
Can I delete the CU?,"Yes, you can delete the CU at anytime once created"
Is it possible to delete the CUs?,"Yes, you can delete the CU at anytime once created"
Is it possible to delete the CUs once created?,"Yes, you can delete the CU at anytime once created"
Can we delete the DCD connections?,"Yes, you can delete the DCD connections"
Can DCDs be deleted once created?,"Yes, you can delete the DCD connections"
Do I have an option to delete DCDs?,"Yes, you can delete the DCD connections"
Is it possible to remove the linked DCDs?,"Yes, you can delete the DCD connections"
Can we delete the entities from Trigger CES?,"Yes, you can delete the entities from the trigger CES"
Do we have an option to remove the entities from trigger CES?,"Yes, you can delete the entities from the trigger CES"
Can we integrate CRM in the solutions?,"Yes, you can develop any complex solution/module of CRM using the features available in the platform."
Can CRM solutions be integrated?,"Yes, you can develop any complex solution/module of CRM using the features available in the platform."
Does the platform support to develop CRM solutions?,"Yes, you can develop any complex solution/module of CRM using the features available in the platform."
Is it possible to develop CRM into a solution?,"Yes, you can develop any complex solution/module of CRM using the features available in the platform."
Is it possible to integrate CRM into a solution?,"Yes, you can develop any complex solution/module of CRM using the features available in the platform."
Is it possible to edit the solutions that are published?,"Yes, you can edit or make changes to the solutions that are published"
Can I edit the published solutions?,"Yes, you can edit or make changes to the solutions that are published"
Can I edit my solution after publishing it ?,"Yes, you can edit or make changes to the solutions that are published."
Can I edit the content of the message or SMS after publishing the solution?,"Yes, you can edit the content of a message or SMS after publishing the solution. However, the message will not be changed at the destination once it was sent without edits"
Do we have the option to edit the context of emails and messages after the solutions has been developed?,"Yes, you can edit the content of a message or SMS after publishing the solution. However, the message will not be changed at the destination once it was sent without edits"
Can we edit the reserved CUs?,"Yes, you can edit the reserved CUs. However, make sure that you are not disturbing triggers"
Is it possible to edit reserved CUs?,"Yes, you can edit the reserved CUs. However, make sure that you are not disturbing triggers"
Do I have an option to a edit Reserved CU?,"Yes, you can edit the reserved CUs. However, make sure that you are not disturbing triggers"
Can I edit UI option once selected?,"Yes, you can edit the UI options once selected or you can delete the Attribute and add another Attribute with a new UI"
Can we choose another UI option after developing a solution?,"Yes, you can edit the UI options once selected or you can delete the Attribute and add another Attribute with a new UI"
Can I edit my GSI Name?,"Yes, you can edit your GSI name and save it in the Book"
Is it possible to change the GSI name after we publish?,"Yes, you can edit your GSI name and save it in the Book"
Is it possible to extract the solution from sources?,"Yes, you can extract the files with the option Extract"
Can I upload the solutions from other files?,"Yes, you can extract the files with the option Extract"
Does the platform support to incorporate different APIs?,"Yes, you can incorporate or integrate any APIs into a solution and the platform supports it."
Is there an option to integrate APIs into the solution?,"Yes, you can incorporate or integrate any APIs into a solution and the platform supports it."
Does the platform support to integrate APIs?,"Yes, you can incorporate or integrate any APIs into a solution and the platform supports it."
Can we develop a solution with payment details ?,"Yes, You can incorporate or integrate the payment gateways in your solutions. ."
Can we create payment details solutions?,"Yes, You can incorporate or integrate the payment gateways in your solutions. ."
Is there an option to develop a solution for payment details?,"Yes, You can incorporate or integrate the payment gateways in your solutions. ."
Can we use WhatsApp to send messages from the solution?,"Yes, you can incorporate WhatsApp in your solutions to send messages. ."
Is there a possibility to send a WhatsApp message using the solution?,"Yes, you can incorporate WhatsApp in your solutions to send messages. ."
Can we see the recently used CU and Entities in the search?,"Yes, you can see the recently used CUs and Entities in the search bar on the left"
Can we directly search used entities and CUs?,"Yes, you can see the recently used CUs and Entities in the search bar on the left"
Is it possible to search for already developed CUs and entities?,"Yes, you can see the recently used CUs and Entities in the search bar on the left"
Can I look CUs and entities which are recently saved?,"Yes, you can see the recently used CUs and Entities in the search bar on the left"
Can we use multiple Validators for a single Attribute?,"Yes, you can use multiple Validators for a single Attribute."
Can I specify a pattern for passwords ?,"Yes, you can use Pattern Type Validator to define a specific pattern in which input should be entered. It validates the input with the pattern defined in the regexp element."
Can I specify a pattern in which users must enter the data?,"Yes, you can use Pattern Type Validator to define a specific pattern in which input should be entered. It validates the input with the pattern defined in the regexp element."
"Can I specify a pattern for passwords, usernames, email IDs etc.?","Yes, you can use Pattern Type Validator to define a specific pattern in which input should be entered. It validates the input with the pattern defined in the regexp element."
Can we use the previously created GSI and CUs in the Current developing solution?,"Yes, you can use your previous GSI/CUs/Entities/Attributes in the Current solution."
Can we reuse the GSI and CUs which are already developed?,"Yes, you can use your previous GSI/CUs/Entities/Attributes in the Current solution."
Can I add already created GSIs and CUs in a new solution?,"Yes, you can use your previous GSI/CUs/Entities/Attributes in the Current solution."
Is it possible to reuse existing CU or Entity?,"Yes, you can use your previous GSI/CUs/Entities/Attributes in the Current solution."
Can I reuse an existing Change Unit or Entity?,"Yes, you can use your previous GSI/CUs/Entities/Attributes in the Current solution."
Can we implement auto calculation functions to generate Bills?,"Yes, you have many functions which can generate different bills and receipts"
Does platform support auto calculations for generating bills and payments?,"Yes, you have many functions which can generate different bills and receipts"
Do I have an option to auto calculate amount while generating receipts or bill?,"Yes, you have many functions which can generate different bills and receipts"
Do we have the function to convert the Currency values?,"Yes, you have the Currency Converter CU which can be used to convert the Currency values"
Can we develop a solution which can convert any given value to specific Currency value?,"Yes, you have the Currency Converter CU which can be used to convert the Currency values"
Can I connect Physical layer to Information Layer?,"Yes, you should connect your physical layer to the information layer to flow the Entity set after the Attribute values are given"
Can I edit an Entity to add more Attributes?,"Yes. By selecting the edit icon of an Entity, it can be edited and more Attributes can be added"
Can I add agent at the Entity level?,Yes. Rights can be provided at GSI Level or Change Unit level or Entity Level or Attribute level according to the requirement of the user.
Can I provide Rights at GSI level?,Yes. Rights can be provided at GSI Level/Change Unit level/Entity Level/Attribute level according to your requirement.
At what level can I provide Rights in a solution?,Yes. Rights can be provided at GSI Level/Change Unit level/Entity Level/Attribute level according to your requirement.
When can I provide Rights in a solution?,Yes. Rights can be provided at GSI Level/Change Unit level/Entity Level/Attribute level according to your requirement.
Can I provide Rights at CU level?,Yes. Rights can be provided at GSI Level/Change Unit level/Entity Level/Attribute level according to your requirement.
Can I provide Rights at Entity level?,Yes. Rights can be provided at GSI Level/Change Unit level/Entity Level/Attribute level according to your requirement.
Can I provide Rights at Attribute level?,Yes. Rights can be provided at GSI Level/Change Unit level/Entity Level/Attribute level according to your requirement.
When can we define the CU type?,You can choose the CU type once you have given the CU name
How to connect the Change Units?,You can connect CUs by linking the entities and Attributes of the CUs through DCDs
How do I link two CUs?,You can connect CUs by linking the entities and Attributes of the CUs through DCDs
How CUs are connected?,You can connect CUs by linking the entities and Attributes of the CUs through DCDs
When do I need to connect Physical layer to information Layer?,You can connect the physical layer to the information layer at the time of adding DCDs.
How many CUs are required to develop a basic solution?,You can Create a basic solution with 2 to 3 CUs
How can I create a CU with the timeout option?,You Can create a CU and then provide time and space option
Is there a function which can calculate total sum?,"You can Create a solution that can perform mathematical calculation. The function ""Total"" will help you to calculate the sum of the given values"
Is there a feature which can give an Aggregate value for items?,"You can Create a solution that can perform mathematical calculation. The function ""Total"" will help you to calculate the sum of the given values"
Is there a function where I can apply OR operation and get output as either false or true?,You can Create a solution which can verify the condition and answer it is true or false based on the condition. .
Is there a function to save content as a PDF?,"You can Create a solution with the feature ""Save as PDF"" to save the content in PDF format"
Can I develop a solution where the end-user can save content as PDFs?,"You can Create a solution with the feature ""Save as PDF"" to save the content in PDF format"
Is there a function where the content can be saved as password protected PDFs?,"You can Create a solution with the feature ""save content as password protected pdf file"" to save the content in PDF format"
Can I develop a solution where the content would be in password protected PDFs,"You can Create a solution with the feature ""save content as password protected pdf file"" to save the content in PDF format"
Is there a function to save content as text files or documents?,"You can Create a solution with the feature ""Save content as Text File"" to save the content in PDF format"
Can I develop a solution where the end-user can directly save content as text file?,"You can Create a solution with the feature ""Save content as Text File"" to save the content in PDF format"
Is there a feature which can add items to a list?,"You can Create a solution with the feature to add items to a list with the function ""add items to list""."
Is there a function which add elements to a list?,"You can Create a solution with the feature to add items to a list with the function ""add items to list""."
Is there a feature which can remove elements from a list?,"You can Create a solution with the feature to remove items from a list with the function ""remove items from list""."
Is there function which can remove items from a list?,"You can Create a solution with the feature to remove items from a list with the function ""remove items from list""."
Is there a feature where I can convert text into a Boolean value?,You can Create a solution with the feature which can convert text into Boolean values. .
Can I remove all the elements from a list?,"You can Create a solution with the features to remove all elements from a list with the function "" Clear list"". ."
Is there a function which can remove all the items from a list?,"You can Create a solution with the features to remove all elements from a list with the function "" Clear list"". ."
Is there a function to check whether a number is even or not?,"You can Create a solution with the function "" check if even"" that can check for even values"
Is there a feature to check if a number is even?,"You can Create a solution with the function "" check if even"" that can check for even values"
Is there a function to check whether a number is odd or not?,"You can Create a solution with the function "" check if odd"" to check the odd values"
Is there a feature to check if a number is odd?,"You can Create a solution with the function "" check if odd"" to check the odd values"
Is there a function which gives maximum of two values?,"You can Create a solution with the function "" Get Maximum"" that can calculate the maximum of two given values"
Is there a function which gives highest of the two given argument?,"You can Create a solution with the function "" Get Maximum"" that can calculate the maximum of two given values"
What can be created in information layer?,You can create the entities as a piece of information in the information layer. The user cannot give any inputs for the entities in the information layer
What is the use of Information Layer?,You can create the entities as a piece of information in the information layer. The user cannot give any inputs for the entities in the information layer
When can we create Parallel CU?,You can create the Parallel CU if you want to connect two GSI with one CU and do not have common entities in both the GSIs.
How can I edit the Attributes?,You can edit Attributes by hovering over the Attribute and select edit
Can we edit the Attributes once created?,You can edit Attributes by hovering over the Attribute and select edit
What can I edited in the Change Unit?,"You can edit the CU Name, Physical Layer, Information Layer, and all the other elements"
Can I edit all the options under the Change Unit?,"You can edit the CU Name, Physical Layer, Information Layer, and all the other elements"
Where can I see the solution approval Notification?,You can find the solution approval request in notifications tab with bell Icon on the left bottom on the canvas.
Where can I find the solutions that are not saved?,You can find the unsaved solutions in Drafts under my library
Where can I find the solutions that are not saved in a Book?,You can find the unsaved solutions in Drafts under my library
What is a Validator?,You can find the Validator at the time of defining the UI control. A Validator may be text or a number to predefine the min and max values that can be entered as an input
What is the use of Validator?,You can find the Validator at the time of defining the UI control. A Validator may be text or a number to predefine the min and max values that can be entered as an input
